Make,Model,Year of manufacture,Colour,Condition,Mileage,Engine Size,Bought Condition,Price,Registered state
Honda,Accord,2004.0,Gray,Nigerian Used,207668.0,3000.0,Brand new,2600000.0,abuja
Toyota,Camry,2007.0,Gold,Nigerian Used,142459.0,2400.0,Imported,2940000.0,edo
Mitsubishi,Lancer,2013.0,Black,Nigerian Used,55352.0,1400.0,Brand new,1890000.0,lagos
Toyota,Camry,2003.0,Gold,Nigerian Used,386508.0,2400.0,Registered,2100000.0,unknown
Toyota,Tacoma,2017.0,White,Foreign Used,125634.0,3500.0,Imported,16800000.0,unknown
Nissan,Altima,2005.0,Silver,Nigerian Used,351642.0,2500.0,Registered,1176000.0,lagos
Toyota,Camry,2009.0,Black,Nigerian Used,242352.0,3800.0,Registered,2572500.0,lagos
Toyota,Camry,2005.0,Red,Nigerian Used,103388.0,2400.0,Registered,1706250.0,lagos
Toyota,Avensis,2012.0,Black,Nigerian Used,250900.0,2000.0,Registered,2835000.0,unknown
Hyundai,Santa Fe,2017.0,Gray,Foreign Used,182915.0,2400.0,Imported,11025000.0,unknown
Infiniti,FX35,2009.0,Orange,Nigerian Used,99401.0,3500.0,Imported,5040000.0,unknown
Nissan,Pathfinder,2008.0,Gray,Nigerian Used,123627.0,4000.0,Imported,1890000.0,unknown
Peugeot,306,2008.0,Gray,Nigerian Used,123600.0,1800.0,Registered,1470000.0,abuja
Acura,MDX,2009.0,Red,Nigerian Used,336298.0,3700.0,Imported,4472000.0,lagos
Mercedes-Benz,M Class,2007.0,Silver,Nigerian Used,109327.0,3500.0,Imported,4200000.0,lagos
Honda,Jazz,2009.0,Red,Nigerian Used,209307.0,1300.0,Registered,2940000.0,jos
Infiniti,QX4,2000.0,White,Nigerian Used,24037.0,3300.0,Registered,1575000.0,ogun
Lexus,RX 300,2002.0,Black,Nigerian Used,178746.0,3000.0,Registered,2808000.0,lagos
Acura,MDX,2004.0,Black,Nigerian Used,137403.0,3700.0,Registered,2080000.0,unknown
Toyota,Land Cruiser Prado,2012.0,Black,Nigerian Used,304357.0,2700.0,Imported,13650000.0,unknown
Toyota,Camry,2013.0,Black,Nigerian Used,119635.0,2400.0,Registered,6240000.0,unknown
BMW,3 Series,2006.0,Silver,Nigerian Used,387382.0,3000.0,Imported,1785000.0,abuja
Honda,Accord,2002.0,Gold,Nigerian Used,231463.0,2300.0,Registered,827400.0,abuja
Toyota,Corolla,2003.0,Gray,Nigerian Used,277465.0,1800.0,Registered,2205000.0,lagos
Toyota,Camry,2008.0,Black,Nigerian Used,363382.0,2400.0,Imported,3150000.0,unknown
Lexus,IS,2006.0,White,Nigerian Used,272467.0,2500.0,Registered,4368000.0,abuja
Toyota,Corolla,2009.0,Gold,Nigerian Used,239556.0,1800.0,Registered,3045000.0,unknown
Volvo,S80,2007.0,White,Nigerian Used,172321.0,3200.0,Imported,3990000.0,lagos
Toyota,Venza,2010.0,Blue,Nigerian Used,86914.0,2700.0,Registered,5775000.0,lagos
Honda,Pilot,2009.0,Gray,Nigerian Used,120708.0,3500.0,Imported,3675000.0,lagos
Toyota,Corolla,2010.0,Black,Nigerian Used,192625.0,1800.0,Imported,3328000.0,unknown
Toyota,Avensis,2004.0,Silver,Nigerian Used,87720.0,2000.0,Registered,2835000.0,unknown
Toyota,Solara,2008.0,White,Nigerian Used,184840.0,3300.0,Imported,2496000.0,lagos
Chevrolet,Spark,2010.0,Black,Nigerian Used,88605.0,1400.0,Registered,2100000.0,unknown
Toyota,Avensis,2006.0,Silver,Nigerian Used,323951.0,1800.0,Imported,2600000.0,oyo
Toyota,Solara,2008.0,White,Nigerian Used,212525.0,3300.0,Registered,2600000.0,abuja
Toyota,Highlander,2004.0,Silver,Nigerian Used,197784.0,3300.0,Registered,2467500.0,unknown
Mercedes-Benz,M Class,2004.0,Silver,Nigerian Used,130916.0,3200.0,Imported,2100000.0,abuja
Mercedes-Benz,C180,2004.0,Blue,Nigerian Used,220801.0,1800.0,Imported,2625000.0,akwa ibom
Toyota,Highlander,2001.0,Black,Nigerian Used,183943.0,3000.0,Registered,2205000.0,abuja
Toyota,Camry,2005.0,Blue,Nigerian Used,131648.0,2400.0,Registered,2600000.0,lagos
Toyota,Corolla Verso,2009.0,Red,Nigerian Used,174881.0,1600.0,Imported,2415000.0,lagos
Mercedes-Benz,GLK-Class,2010.0,Burgandy,Nigerian Used,120368.0,3500.0,Registered,7280000.0,edo
Acura,TL,2003.0,Silver,Nigerian Used,156715.0,3200.0,Registered,3150000.0,lagos
Suzuki,Sx4,2010.0,Silver,Nigerian Used,242132.0,1500.0,Brand new,1050000.0,lagos
Hyundai,Elantra,2017.0,Silver,Nigerian Used,97312.0,1600.0,Brand new,5565000.0,lagos
Honda,Accord,2007.0,Silver,Nigerian Used,320728.0,2400.0,Registered,2496000.0,oyo
Nissan,Rogue,2016.0,Blue,Nigerian Used,169350.0,2500.0,Imported,5775000.0,lagos
Volkswagen,Sharan,2005.0,Black,Nigerian Used,350049.0,2000.0,Imported,4200000.0,unknown
Toyota,Camry,2003.0,Gray,Nigerian Used,146957.0,2400.0,Imported,2000250.0,lagos
Nissan,Rogue,2010.0,Black,Nigerian Used,150199.0,2500.0,Registered,1995000.0,unknown
Toyota,Highlander,2008.0,Black,Nigerian Used,102220.0,3500.0,Registered,4830000.0,edo
Nissan,Pathfinder,2005.0,Blue,Nigerian Used,191047.0,4000.0,Imported,2392000.0,lagos
Kia,Rio,2006.0,Gray,Nigerian Used,125925.0,1400.0,Registered,1260000.0,lagos
Toyota,Camry,2007.0,Black,Nigerian Used,197607.0,2400.0,Imported,4264000.0,unknown
Lexus,RX 330,2004.0,Black,Nigerian Used,387100.0,3300.0,Registered,3675000.0,lagos
Dodge,Charger,2008.0,Yellow,Nigerian Used,42153.0,3500.0,Imported,3150000.0,unknown
Acura,MDX,2011.0,Black,Foreign Used,103145.0,3700.0,Imported,8216000.0,unknown
Toyota,Camry,2004.0,Gold,Nigerian Used,214043.0,2400.0,Registered,1732500.0,lagos
Ford,Edge,2007.0,Black,Nigerian Used,349685.0,3500.0,Imported,3640000.0,unknown
Honda,Accord,2007.0,Silver,Nigerian Used,184725.0,2400.0,Registered,2288000.0,abuja
Toyota,Matrix,2007.0,Blue,Nigerian Used,119413.0,1800.0,Imported,2352000.0,lagos
Lexus,IS,2007.0,Black,Nigerian Used,93488.0,2500.0,Imported,3570000.0,lagos
Toyota,Corolla,2003.0,Silver,Nigerian Used,160932.0,2000.0,Registered,2500000.0,kaduna
Toyota,Camry,2005.0,Silver,Foreign Used,317601.0,2400.0,Imported,4472000.0,unknown
Toyota,Corolla,2016.0,Red,Foreign Used,122202.0,1800.0,Imported,8715000.0,unknown
Toyota,Corolla,2007.0,Red,Nigerian Used,199884.0,1800.0,Registered,3328000.0,lagos
Honda,CR-V,2004.0,Gold,Nigerian Used,586775.0,2400.0,Registered,1207500.0,nasarawa
Toyota,Camry,2013.0,Black,Foreign Used,81760.0,2500.0,Imported,8528000.0,unknown
Volkswagen,Passat,2012.0,Blue,Nigerian Used,178038.0,2000.0,Imported,2047500.0,unknown
Toyota,Tacoma,2008.0,Silver,Foreign Used,362434.0,2700.0,Imported,5040000.0,unknown
Toyota,Camry,2011.0,Black,Nigerian Used,259642.0,2500.0,Imported,2884875.0,unknown
Honda,Accord,2004.0,Gold,Nigerian Used,415311.0,2500.0,Registered,1417500.0,unknown
Lexus,RX,2003.0,Gray,Nigerian Used,210952.0,3000.0,Imported,1260000.0,unknown
Toyota,Corolla,2005.0,Red,Nigerian Used,252794.0,1800.0,Registered,3640000.0,unknown
Honda,Accord,2008.0,Blue,Nigerian Used,233132.0,2400.0,Imported,2912000.0,lagos
Toyota,Sienna,2002.0,White,Nigerian Used,357609.0,3000.0,Registered,1680000.0,lagos
Kia,Sportage,2011.0,Black,Nigerian Used,118803.0,2000.0,Registered,3675000.0,lagos
Honda,Accord,2008.0,Gray,Nigerian Used,203501.0,2400.0,Registered,2912000.0,benue
Toyota,Corolla,2014.0,White,Foreign Used,109278.0,1800.0,Imported,9880000.0,unknown
Toyota,Camry,2001.0,Gray,Nigerian Used,276132.0,2200.0,Registered,1560000.0,lagos
Toyota,Corolla,2007.0,Blue,Nigerian Used,272615.0,1800.0,Registered,2782500.0,niger
Kia,Sportage,2009.0,Gray,Nigerian Used,102052.0,2000.0,Brand new,1785000.0,unknown
Toyota,Camry,2007.0,Black,Foreign Used,220276.0,2400.0,Imported,4725000.0,unknown
Hyundai,Veloster,2013.0,Red,Nigerian Used,102477.0,1600.0,Registered,3885000.0,lagos
Kia,Sorento,2004.0,Black,Nigerian Used,130380.0,3500.0,Registered,1470000.0,lagos
Toyota,Sienna,2004.0,Gold,Nigerian Used,16091.0,3300.0,Registered,1680000.0,kaduna
Changan,Alsvin,2022.0,White,Nigerian Used,16908.0,1200.0,Brand new,3675000.0,unknown
Nissan,Almera,2013.0,Silver,Nigerian Used,107156.0,1500.0,Registered,1680000.0,unknown
Toyota,Highlander,2015.0,Black,Nigerian Used,90266.0,3500.0,Imported,15600000.0,abuja
Volkswagen,Tiguan,2012.0,Green,Nigerian Used,142280.0,2000.0,Registered,3150000.0,abuja
Honda,Accord,2002.0,Black,Nigerian Used,200000.0,2200.0,Imported,630000.0,ogun
Toyota,Corolla,2006.0,Gray,Foreign Used,81052.0,2800.0,Imported,3885000.0,unknown
Mercedes-Benz,C-Class,2005.0,Silver,Nigerian Used,237273.0,2300.0,Registered,2310000.0,lagos
Toyota,Sienna,2001.0,Gold,Nigerian Used,111471.0,3300.0,Registered,2184000.0,abuja
Toyota,Camry,2001.0,Gray,Nigerian Used,245572.0,2200.0,Registered,1872000.0,lagos
Ford,Edge,2015.0,Black,Nigerian Used,189118.0,2000.0,Registered,3675000.0,unknown
Toyota,Corolla,2004.0,Black,Nigerian Used,293015.0,1800.0,Imported,2000000.0,unknown
Toyota,Avalon,2017.0,White,Nigerian Used,86145.0,3500.0,Registered,9975000.0,abuja
Honda,Accord,2007.0,Black,Nigerian Used,287449.0,2400.0,Registered,1374000.0,lagos
Toyota,Corolla,2008.0,Black,Nigerian Used,111463.0,1800.0,Registered,3276000.0,lagos
Toyota,Camry,2016.0,Black,Foreign Used,271093.0,2500.0,Imported,9450000.0,unknown
Ford,Edge,2008.0,Blue,Nigerian Used,255553.0,3500.0,Registered,2352000.0,lagos
Lexus,RX,2002.0,Gray,Nigerian Used,235488.0,3000.0,Imported,2600000.0,lagos
Infiniti,M,2007.0,Gray,Nigerian Used,146321.0,3500.0,Imported,2362500.0,lagos
BMW,X5,2008.0,Purple,Nigerian Used,142575.0,4000.0,Registered,3528000.0,abuja
Toyota,RAV4,2007.0,Red,Nigerian Used,165282.0,2400.0,Registered,3952000.0,abuja
Toyota,Matrix,2007.0,Gray,Foreign Used,292618.0,1800.0,Imported,4732000.0,unknown
Toyota,Cami,2005.0,Gold,Nigerian Used,146178.0,2400.0,Registered,2100000.0,lagos
Geely,Azkarra,2022.0,White,Nigerian Used,30307.0,2000.0,Brand new,16800000.0,abuja
Lexus,ES,2007.0,White,Nigerian Used,153926.0,3500.0,Registered,4305000.0,unknown
Land Rover,Freelander,2004.0,Green,Nigerian Used,101882.0,3000.0,Registered,1575000.0,ogun
Mercedes-Benz,M Class,2010.0,Black,Nigerian Used,118543.0,3500.0,Imported,6552000.0,lagos
Honda,Civic,2006.0,Silver,Nigerian Used,190001.0,1800.0,Registered,1732500.0,abuja
Honda,Accord,2009.0,Black,Nigerian Used,134836.0,2400.0,Imported,3640000.0,unknown
Toyota,Highlander,2008.0,Gray,Nigerian Used,332203.0,3500.0,Imported,6656000.0,lagos
Lexus,ES,2008.0,White,Foreign Used,385639.0,3500.0,Imported,6090000.0,unknown
Honda,Accord,2004.0,Gray,Nigerian Used,394970.0,2400.0,Registered,1456000.0,lagos
Toyota,Sienna,2006.0,Gray,Nigerian Used,512848.0,3300.0,Imported,4680000.0,lagos
Honda,Accord,2008.0,Gray,Nigerian Used,398757.0,2400.0,Imported,2704000.0,enugu
Toyota,Highlander,2006.0,Silver,Nigerian Used,323006.0,3500.0,Imported,2940000.0,lagos
Honda,HR-V,2021.0,Black,Nigerian Used,14921.0,1800.0,Imported,17850000.0,lagos
Honda,Pilot,2004.0,Silver,Nigerian Used,235213.0,3800.0,Registered,1365000.0,lagos
Mercedes-Benz,E350,2011.0,White,Foreign Used,165897.0,3800.0,Imported,8032500.0,unknown
Nissan,Almera,2002.0,Blue,Nigerian Used,216506.0,2000.0,Imported,1155000.0,unknown
Volkswagen,Passat,2008.0,Blue,Foreign Used,142531.0,2000.0,Imported,3675000.0,unknown
Honda,Element,2007.0,Gray,Nigerian Used,151674.0,2400.0,Imported,2362500.0,lagos
Lexus,ES,2004.0,White,Nigerian Used,452948.0,3300.0,Imported,2912000.0,unknown
Hyundai,Elantra,2014.0,Black,Nigerian Used,180162.0,1800.0,Imported,3675000.0,lagos
Hyundai,Sonata,2011.0,Black,Nigerian Used,106742.0,2400.0,Imported,4680000.0,abuja
Honda,Civic,2016.0,Gray,Foreign Used,161617.0,2000.0,Imported,9450000.0,unknown
Toyota,Venza,2009.0,Gray,Nigerian Used,303113.0,3500.0,Registered,6457500.0,unknown
Toyota,Highlander,2005.0,Gray,Nigerian Used,262126.0,3300.0,Registered,2940000.0,lagos
Toyota,Camry,2005.0,Silver,Nigerian Used,296284.0,2400.0,Imported,2415000.0,lagos
Jeep,Wrangler,2005.0,Black,Nigerian Used,235231.0,3800.0,Registered,4200000.0,lagos
Toyota,Corolla,2000.0,Silver,Nigerian Used,73575.0,1800.0,Registered,1768000.0,abuja
Lexus,ES,2007.0,Silver,Nigerian Used,179695.0,3500.0,Imported,6552000.0,unknown
Ford,Edge,2014.0,Black,Nigerian Used,91663.0,3500.0,Brand new,3467500.0,unknown
Toyota,Camry,2002.0,Silver,Nigerian Used,365296.0,3000.0,Registered,2496000.0,unknown
Ford,Explorer,2015.0,Black,Nigerian Used,125089.0,3500.0,Registered,6300000.0,lagos
Lexus,IS,2016.0,Black,Nigerian Used,110328.0,2000.0,Imported,9975000.0,lagos
Toyota,Corolla,2004.0,Silver,Nigerian Used,466505.0,1800.0,Imported,2860000.0,lagos
Toyota,Highlander,2008.0,Red,Foreign Used,142999.0,3500.0,Imported,7586250.0,unknown
Jeep,Cherokee,2015.0,Red,Nigerian Used,63372.0,2800.0,Imported,7350000.0,lagos
Ford,Escape,2008.0,Black,Nigerian Used,186699.0,3000.0,Imported,2100000.0,lagos
Acura,MDX,2008.0,White,Nigerian Used,162600.0,3700.0,Imported,3536000.0,unknown
Honda,Accord,2003.0,Black,Nigerian Used,171335.0,2400.0,Registered,1064700.0,lagos
Lexus,ES,2009.0,Black,Nigerian Used,154422.0,3500.0,Imported,4620000.0,unknown
Mercedes-Benz,M Class,2007.0,Gold,Nigerian Used,197101.0,3500.0,Imported,4200000.0,lagos
Toyota,Sienna,2008.0,Blue,Nigerian Used,187443.0,3500.0,Imported,3640000.0,lagos
Acura,MDX,2003.0,White,Nigerian Used,213091.0,3500.0,Registered,1995000.0,lagos
Honda,Accord,2003.0,Silver,Nigerian Used,378777.0,2400.0,Registered,1249500.0,abuja
Mercedes-Benz,E350,2010.0,Black,Nigerian Used,134967.0,3500.0,Registered,5460000.0,lagos
Ford,Focus,2007.0,Gray,Nigerian Used,65947.0,2000.0,Registered,1260000.0,unknown
Mazda,CX-9,2010.0,White,Foreign Used,314695.0,3700.0,Imported,6760000.0,unknown
Lexus,RX 300,2002.0,Black,Nigerian Used,112221.0,3000.0,Registered,2912000.0,unknown
Mercedes-Benz,M Class,2007.0,Gold,Nigerian Used,206624.0,3500.0,Imported,3507000.0,unknown
Honda,CR-V,2003.0,Blue,Nigerian Used,278783.0,2400.0,Registered,1560000.0,unknown
Toyota,Corolla,2018.0,Black,Foreign Used,133180.0,1800.0,Imported,8011498.0,unknown
Toyota,Sienna,2008.0,Blue,Nigerian Used,166861.0,3500.0,Imported,3848000.0,abuja
Honda,Accord,2006.0,Silver,Nigerian Used,281830.0,3000.0,Imported,1872000.0,lagos
Toyota,Camry,2013.0,Gray,Nigerian Used,133092.0,2500.0,Registered,7280000.0,lagos
Lexus,ES,2002.0,White,Nigerian Used,263460.0,3000.0,Imported,3328000.0,lagos
Mercedes-Benz,C300,2015.0,White,Nigerian Used,96106.0,2000.0,Registered,9450000.0,lagos
Toyota,Camry,2003.0,Gray,Nigerian Used,581874.0,2400.0,Registered,1627500.0,unknown
Mazda,5,2007.0,Black,Foreign Used,203717.0,2300.0,Imported,4620000.0,unknown
Toyota,Matrix,2008.0,Black,Nigerian Used,176294.0,2000.0,Registered,1890000.0,unknown
Mazda,3,2006.0,Blue,Nigerian Used,297040.0,1600.0,Imported,1890000.0,lagos
Mercedes-Benz,GLK-Class,2011.0,Gray,Nigerian Used,77460.0,3500.0,Imported,5565000.0,lagos
Toyota,Sienna,2006.0,Gold,Nigerian Used,166543.0,3300.0,Registered,3640000.0,unknown
Kia,Cerato,2016.0,Silver,Nigerian Used,135245.0,1600.0,Imported,3675000.0,unknown
Mercedes-Benz,C300,2015.0,Black,Nigerian Used,175215.0,3000.0,Imported,10500000.0,unknown
Toyota,Corolla,2011.0,White,Foreign Used,143638.0,1800.0,Imported,5985000.0,unknown
Toyota,Corolla,2008.0,Black,Nigerian Used,200916.0,1800.0,Registered,3097500.0,unknown
Toyota,Camry,2005.0,Gray,Nigerian Used,100640.0,3300.0,Imported,2415000.0,lagos
Honda,Accord,2005.0,Black,Nigerian Used,241139.0,2400.0,Registered,1768000.0,abuja
Toyota,Solara,2004.0,Blue,Nigerian Used,226249.0,3300.0,Imported,2340000.0,unknown
Ford,Galaxy,2002.0,Silver,Nigerian Used,578607.0,2300.0,Registered,1575000.0,unknown
Volkswagen,Passat,2012.0,Black,Nigerian Used,173589.0,2500.0,Registered,3150000.0,abuja
Honda,Pilot,2006.0,Silver,Nigerian Used,210383.0,3500.0,Imported,2392000.0,unknown
Toyota,Venza,2010.0,Gray,Nigerian Used,139398.0,2400.0,Imported,7800000.0,abuja
Toyota,Camry,2011.0,Red,Nigerian Used,161636.0,3500.0,Imported,3307500.0,delta
Toyota,Corolla,2011.0,Black,Nigerian Used,179659.0,1800.0,Imported,3547687.0,abuja
Honda,Crosstour,2013.0,White,Foreign Used,100861.0,3500.0,Imported,8085000.0,unknown
Toyota,Camry,2002.0,Green,Nigerian Used,213615.0,2400.0,Registered,1470000.0,lagos
Toyota,Highlander,2005.0,Blue,Nigerian Used,190933.0,3300.0,Registered,3640000.0,abuja
Honda,Accord,2008.0,Brown,Nigerian Used,176000.0,2400.0,Registered,1680000.0,unknown
Toyota,Highlander,2003.0,Green,Nigerian Used,309083.0,2400.0,Imported,3432000.0,unknown
Jeep,Liberty,2013.0,Silver,Nigerian Used,195863.0,3700.0,Imported,4410000.0,lagos
Lexus,RX 350,2010.0,Silver,Nigerian Used,155053.0,3500.0,Registered,7665000.0,ondo
Mercedes-Benz,M Class,2010.0,Black,Nigerian Used,66659.0,3500.0,Imported,5250000.0,lagos
Toyota,4-Runner,2006.0,Silver,Nigerian Used,243256.0,3500.0,Imported,3150000.0,unknown
Toyota,Corolla,2001.0,Silver,Nigerian Used,263008.0,1800.0,Registered,945000.0,rivers
Mercedes-Benz,M Class,2006.0,Silver,Nigerian Used,291625.0,3500.0,Imported,3465000.0,lagos
Honda,Accord,2008.0,Black,Nigerian Used,106768.0,2400.0,Registered,2275875.0,abuja
Mazda,MPV,2002.0,Silver,Nigerian Used,256728.0,3000.0,Registered,2100000.0,lagos
Lexus,ES,2006.0,Black,Nigerian Used,517904.0,3300.0,Registered,2677500.0,abuja
Toyota,Corolla Verso,2005.0,Silver,Nigerian Used,201475.0,1800.0,Registered,3150000.0,abuja
Infiniti,QX4,2001.0,Red,Nigerian Used,241890.0,3500.0,Registered,2625000.0,unknown
Land Rover,Range Rover Evoque,2015.0,White,Foreign Used,112198.0,2000.0,Imported,15225000.0,unknown
Chrysler,Town&Country,2012.0,White,Nigerian Used,230212.0,3500.0,Imported,5460000.0,unknown
Toyota,Corolla,2007.0,Red,Nigerian Used,299999.0,1800.0,Registered,3640000.0,edo
Toyota,Land Cruiser Prado,2011.0,Black,Nigerian Used,96343.0,2700.0,Imported,14560000.0,enugu
Toyota,RAV4,2003.0,Gold,Nigerian Used,235042.0,2400.0,Imported,2236000.0,lagos
Toyota,Camry,2014.0,Black,Nigerian Used,141275.0,2500.0,Registered,6240000.0,unknown
Toyota,Camry,2005.0,White,Nigerian Used,203609.0,2400.0,Registered,1995000.0,abuja
Toyota,Camry,2007.0,Green,Nigerian Used,212000.0,2400.0,Imported,2835000.0,lagos
Jeep,Liberty,2008.0,Black,Nigerian Used,225647.0,3700.0,Imported,2625000.0,lagos
Mercedes-Benz,C300,2013.0,Black,Nigerian Used,157489.0,3500.0,Imported,8320000.0,lagos
Jeep,Liberty,2012.0,White,Nigerian Used,60173.0,3700.0,Imported,3045000.0,lagos
Toyota,Corolla,2009.0,Silver,Foreign Used,115323.0,2000.0,Imported,5460000.0,unknown
Infiniti,G35,2006.0,Silver,Nigerian Used,195683.0,3500.0,Registered,1050000.0,lagos
Acura,MDX,2008.0,Black,Nigerian Used,78723.0,3700.0,Imported,2940000.0,lagos
Mercedes-Benz,E200,2005.0,Black,Nigerian Used,236194.0,1800.0,Registered,2310000.0,lagos
Toyota,Camry,2008.0,Silver,Nigerian Used,163193.0,3500.0,Registered,3744000.0,abuja
Honda,Pilot,2002.0,Gold,Nigerian Used,217139.0,3500.0,Imported,1890000.0,edo
Lexus,RX 350,2018.0,White,Foreign Used,20243.0,3500.0,Imported,38480000.0,unknown
Honda,CR-V,2011.0,Silver,Nigerian Used,199976.0,2400.0,Registered,4680000.0,abuja
Toyota,Highlander,2012.0,Gray,Nigerian Used,117295.0,3500.0,Registered,9048000.0,lagos
Honda,Pilot,2005.0,Black,Nigerian Used,331102.0,3500.0,Registered,1638000.0,unknown
Kia,Sportage,2013.0,White,Nigerian Used,111353.0,2000.0,Registered,3612000.0,lagos
Toyota,Highlander,2005.0,Black,Nigerian Used,130081.0,2400.0,Registered,3097500.0,lagos
Acura,MDX,2007.0,Silver,Nigerian Used,225919.0,3500.0,Imported,3640000.0,lagos
Toyota,Camry,2007.0,Blue,Nigerian Used,423694.0,2400.0,Registered,3202500.0,unknown
BMW,330i,2006.0,Silver,Nigerian Used,363334.0,3000.0,Registered,2520000.0,lagos
Lexus,GS,2003.0,Black,Nigerian Used,188432.0,3000.0,Imported,1365000.0,edo
Toyota,Camry,2011.0,Green,Foreign Used,252045.0,2500.0,Imported,6136000.0,unknown
Toyota,Corolla,2011.0,Silver,Nigerian Used,231563.0,1800.0,Registered,4472000.0,unknown
Mercedes-Benz,GLK-Class,2010.0,Black,Nigerian Used,142207.0,3500.0,Imported,10400000.0,lagos
Toyota,Camry,2009.0,Black,Nigerian Used,209043.0,2400.0,Imported,2100000.0,unknown
Ford,Escape,2008.0,Green,Nigerian Used,149046.0,3500.0,Registered,1785000.0,abuja
BMW,X3,2010.0,Silver,Nigerian Used,370948.0,3000.0,Imported,3885000.0,lagos
Toyota,Sienna,2011.0,Gray,Nigerian Used,132836.0,3500.0,Registered,4725000.0,abuja
Audi,A6,2014.0,Black,Nigerian Used,23084.0,2000.0,Registered,11025000.0,lagos
Ford,Edge,2008.0,Off white,Nigerian Used,466409.0,3500.0,Registered,2625000.0,lagos
Ford,Edge,2010.0,Blue,Nigerian Used,183007.0,3500.0,Imported,2625000.0,lagos
Toyota,Camry,2017.0,Silver,Nigerian Used,82573.0,2500.0,Imported,7035000.0,lagos
BMW,525i,2006.0,Black,Nigerian Used,273963.0,2500.0,Registered,2782500.0,lagos
Peugeot,607,2009.0,Blue,Nigerian Used,281115.0,2200.0,Imported,2835000.0,unknown
Lexus,ES,2008.0,Gray,Nigerian Used,243179.0,3500.0,Imported,4200000.0,lagos
Nissan,Qashqai,2013.0,Red,Nigerian Used,98676.0,2000.0,Imported,3990000.0,lagos
Toyota,Highlander,2016.0,Black,Foreign Used,176831.0,3500.0,Imported,16800000.0,unknown
Honda,Accord,2008.0,Black,Nigerian Used,142576.0,2400.0,Imported,2100000.0,abuja
Toyota,Camry,2007.0,Red,Nigerian Used,112634.0,3500.0,Registered,3097500.0,unknown
Toyota,Highlander,2005.0,Black,Nigerian Used,156454.0,3300.0,Registered,2625000.0,unknown
Lexus,RX 300,2001.0,Off white,Nigerian Used,439979.0,3000.0,Imported,2704000.0,unknown
Toyota,Camry,2013.0,Blue,Nigerian Used,146615.0,2500.0,Imported,5928000.0,lagos
Volkswagen,CC,2015.0,Brown,Nigerian Used,58004.0,1800.0,Brand new,4200000.0,lagos
Toyota,Corolla,2012.0,Silver,Nigerian Used,247412.0,2400.0,Registered,3748500.0,abuja
Ford,Edge,2007.0,Red,Nigerian Used,323250.0,3500.0,Imported,2453850.0,lagos
Nissan,Almera,2000.0,Red,Nigerian Used,184781.0,1600.0,Registered,945000.0,nasarawa
BMW,3 Series,2006.0,Black,Nigerian Used,352168.0,3000.0,Registered,1732500.0,lagos
Peugeot,206,2004.0,Green,Nigerian Used,193039.0,1600.0,Registered,2080000.0,abuja
Lexus,ES,2002.0,Gray,Nigerian Used,293289.0,3000.0,Registered,1890000.0,unknown
Toyota,Sienna,2010.0,Red,Nigerian Used,167451.0,3500.0,Imported,3675000.0,unknown
Mitsubishi,Galant,2004.0,Silver,Nigerian Used,239004.0,2000.0,Registered,1522500.0,ekiti
Nissan,Altima,2003.0,Brown,Nigerian Used,473139.0,2500.0,Registered,882000.0,lagos
Toyota,Sienna,2004.0,Gold,Nigerian Used,305830.0,3300.0,Imported,3200000.0,lagos
Volkswagen,Golf,2002.0,Red,Nigerian Used,289670.0,1600.0,Imported,2100000.0,lagos
Kia,Cerato,2010.0,Gray,Nigerian Used,160976.0,1600.0,Registered,1890000.0,unknown
Toyota,Highlander,2001.0,Blue,Nigerian Used,158423.0,2700.0,Registered,2625000.0,lagos
Toyota,Camry,2007.0,Green,Nigerian Used,188604.0,2400.0,Registered,3640000.0,lagos
Toyota,Sienna,2006.0,Blue,Nigerian Used,400994.0,3300.0,Imported,4576000.0,abuja
Honda,CR-V,2015.0,Black,Nigerian Used,101063.0,2400.0,Imported,6825000.0,abuja
Honda,CR-V,2001.0,Red,Foreign Used,132523.0,2800.0,Imported,2625000.0,unknown
Toyota,Camry,2012.0,White,Foreign Used,322894.0,2500.0,Imported,6300000.0,unknown
Toyota,Corolla,2007.0,Silver,Nigerian Used,337942.0,1800.0,Imported,3120000.0,lagos
Nissan,Altima,2012.0,Silver,Nigerian Used,191978.0,2500.0,Registered,2730000.0,lagos
Hyundai,Santa Fe,2003.0,Black,Nigerian Used,220459.0,3500.0,Imported,1470000.0,abuja
Honda,Accord,2008.0,Black,Nigerian Used,149708.0,3500.0,Imported,1785000.0,unknown
Toyota,Corolla,2005.0,Teal,Nigerian Used,123523.0,2800.0,Registered,1925700.0,ondo
Honda,Pilot,2014.0,Gray,Foreign Used,118861.0,3500.0,Imported,7875000.0,unknown
Honda,Accord,2013.0,Silver,Foreign Used,73429.0,2400.0,Imported,7350000.0,unknown
Honda,Accord,2004.0,Silver,Nigerian Used,334255.0,3000.0,Imported,1312500.0,lagos
Honda,Crosstour,2011.0,Gray,Nigerian Used,137535.0,3500.0,Imported,5200000.0,unknown
Toyota,Highlander,2007.0,Gray,Nigerian Used,204340.0,3300.0,Registered,3675000.0,lagos
Honda,Accord,2007.0,Red,Nigerian Used,299628.0,2400.0,Imported,1365000.0,ondo
Honda,Accord,2006.0,Silver,Nigerian Used,178926.0,2400.0,Registered,2080000.0,lagos
