Make,Model,Year of manufacture,Colour,Condition,Mileage,Engine Size,Bought Condition,Price,Registered state
Nissan,Primera,2002.0,Red,Nigerian Used,59734.0,1998.0,Registered,1912500.0,lagos
Toyota,Camry,2006.0,Gray,Nigerian Used,496685.0,1800.0,Imported,2385000.0,lagos
Ford,Fusion,2013.0,Black,Nigerian Used,182252.0,2000.0,Brand new,4612500.0,lagos
Toyota,Avensis,2009.0,Black,Nigerian Used,132970.0,2000.0,Brand new,2898000.0,lagos
Toyota,Venza,2009.0,Brown,Nigerian Used,97408.0,3500.0,Imported,9562500.0,unknown
Lexus,NX,2021.0,Black,Foreign Used,22019.0,2000.0,Imported,40500000.0,unknown
Toyota,Camry,2010.0,Silver,Nigerian Used,390017.0,2400.0,Registered,3375000.0,unknown
Honda,Crosstour,2015.0,Black,Nigerian Used,59468.0,3500.0,Registered,7312500.0,unknown
Toyota,Tacoma,2005.0,White,Foreign Used,161562.0,4000.0,Imported,5062500.0,unknown
Nissan,Murano,2009.0,Black,Nigerian Used,186863.0,3500.0,Imported,4500000.0,lagos
Toyota,Camry,2010.0,Silver,Nigerian Used,193505.0,3500.0,Imported,3825000.0,lagos
Honda,Odyssey,2007.0,Gray,Nigerian Used,133636.0,3500.0,Imported,3375000.0,unknown
Toyota,Venza,2009.0,White,Nigerian Used,292394.0,3500.0,Registered,7875000.0,edo
Volkswagen,Passat,2008.0,Black,Nigerian Used,149325.0,2000.0,Registered,1833750.0,lagos
Kia,Rio,2008.0,Black,Nigerian Used,140319.0,1400.0,Brand new,1912500.0,unknown
Toyota,Camry,2007.0,Black,Nigerian Used,83333.0,2400.0,Imported,3600000.0,lagos
Toyota,Corolla,2003.0,Silver,Nigerian Used,269422.0,1800.0,Registered,2812500.0,unknown
Honda,Accord,2008.0,Black,Foreign Used,168644.0,2400.0,Imported,3600000.0,unknown
Volkswagen,CC,2010.0,Black,Nigerian Used,128369.0,2000.0,Registered,2925000.0,lagos
Honda,City,2010.0,Silver,Nigerian Used,245215.0,1500.0,Registered,1743750.0,lagos
Toyota,Corolla,2008.0,Black,Nigerian Used,146691.0,1800.0,Registered,3150000.0,lagos
Mercedes-Benz,M Class,2011.0,Gray,Nigerian Used,177605.0,3500.0,Registered,6187500.0,abuja
Honda,Accord,2007.0,Gray,Nigerian Used,430900.0,2400.0,Imported,1968750.0,lagos
Toyota,Camry,2012.0,Black,Foreign Used,209722.0,2500.0,Imported,6187500.0,unknown
Honda,Accord,2008.0,Silver,Nigerian Used,151211.0,3500.0,Registered,2142000.0,lagos
Peugeot,307,2004.0,Blue,Foreign Used,403421.0,1600.0,Imported,2415000.0,unknown
Honda,Accord,2007.0,Silver,Nigerian Used,279827.0,2400.0,Imported,1496250.0,lagos
Toyota,Camry,2006.0,Gray,Nigerian Used,235040.0,2400.0,Imported,2226000.0,lagos
Toyota,Sienna,2009.0,Silver,Nigerian Used,127738.0,3500.0,Imported,3937500.0,abuja
Toyota,Camry,2007.0,Blue,Nigerian Used,136458.0,3500.0,Registered,3881250.0,abuja
Land Rover,Lr3,2005.0,Gray,Nigerian Used,293310.0,4000.0,Imported,2250000.0,unknown
Honda,Accord,2005.0,Gold,Nigerian Used,122678.0,2400.0,Registered,1687500.0,unknown
Mercedes-Benz,B-Class,2007.0,Gray,Nigerian Used,87163.0,2000.0,Registered,2362500.0,abuja
Honda,Civic,2008.0,Black,Nigerian Used,166600.0,1800.0,Registered,1912500.0,abuja
Honda,Accord,2003.0,Silver,Nigerian Used,206145.0,2400.0,Registered,1338750.0,niger
Toyota,Camry,2011.0,Gray,Nigerian Used,165893.0,2500.0,Imported,4500000.0,unknown
Mercedes-Benz,C300,2012.0,Gray,Nigerian Used,482277.0,3000.0,Registered,4500000.0,lagos
